FILTRO FILA,,,,,,,,,,,,,,,,,
,Pimienta negra,Sin asignar,2,30,Gr,"0,42",,,,Pimienta negra,Sin asignar,2,30,Gr,"0,42",,
,Cebolla,Verdura,15,225,GR,"0,51",,,,Cebolla,Verdura,15,225,GR,"0,51",,
,Queso Pasta,Lacteos,15,225,GR,"1,35",,,,Queso Pasta,Lacteos,20,300,GR,"1,80",,
,Champiñones,Verdura,60,900,GR,"4,63",,,,Chile en polvo,Sin asignar,2,30,GR,"0,21",,
,,,,,,-,,,,Pimentón de la vera,Sin asignar,2,30,,"0,37",,
,,,,,,-,,,,Queso pasta,Lacteos,15,225,,"1,35",,
,,,,,,-,Resumen nutricional,Pax,,,,,,,-,Resumen nutricional,Pax
,,,,,,-,H.Carbono,120,,,,,,,-,H.Carbono,120
,,,,,,-,Proteina,25,,,,,,,-,Proteina,40
,,,,,,-,Verdura,75,,,,,,,-,Verdura,15
,,,,,,-,Total gr plato:,352,,,,,,,-,Total gr plato:,321
,,,,,,-,Costo por ración,"€1,10",,,,,,,-,Costo por ración,"€1,09"
,,,,,,-,Costo total,"€16,45",,,,,,,-,Costo total,"€16,37"
,Elaboracion,,,,,,,,,Elaboracion,,,,,,,
,1,,,,,,,,,1,,,,,,,
,2,,,,,,,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11,Pasta carbonara (Vegetarian),,,,,,Costo por ración,"1,92 €",,Pasta Strogonoff (Vegetarian),,,,,,Costo por ración,"1,80 €"
,,,,Raciones,,"15,00",,,,,,,Raciones,,"15,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,Macarrones,H.Carbono,120,1800,Gr,"2,16",,,,Macarrones,H.Carbono,120,1800,Gr,"2,16",,
,carne soja,Proteina,70,1050,Gr,"14,18",,,,carne soja,Proteina,90,1350,Gr,"18,23",,
,Nata,Lacteos,80,1200,Ml,"3,12",,,,Cebolla,Verdura,30,450,Ml,"1,01",,
,Aceite oliva,Grasa,10,150,Ml,"0,59",,,,Ajo morado,Verdura,5,75,Ml,"0,55",,
,Sal,Sin asignar,15,225,Gr,"0,09",,,,Aceite oliva,Grasa,10,150,Gr,"0,59",,
,Pimienta negra,Sin asignar,2,30,Gr,"0,42",,,,Queso pasta,Lacteos,15,225,Gr,"1,35",,
,Cebolla,Verdura,15,225,GR,"0,51",,,,Nata,Lacteos,75,1125,GR,"2,93",,
