,,,,Carniceria Samir,Star Cash&Carry,Chino centro,Chino cash&carry,Mercadona,Makro,,,,Presentacion,,
Categoria,Subcategoria,Producto,Cat. Nutricional,€/KG,€/KG,€/KG,€/KG,€/KG,€/KG,purchase_price,purchase_format_gr,€/gr,,Proveedor,Ultima actualización
Despensa,Lacteos,Nata,Lacteos,,,,,"€2,90","€2,60","€2,60",1.000,"€0,0026",,Makro,26/8/22 0:00
Despensa,Especies,Nuez moscada,Sin asignar,,"€46,40",,,,,"€46,40",1.000,"€0,0464",Gr,Star Cash&Carry,
Despensa,Despensa,Nuez picada,Sin asignar,,,,,"€12,66",,"€12,66",1.000,"€0,0127",,Mercadona,20/08/2025
Despensa,Especies,Ñora,Sin asignar,,,,,"€38,40","€26,20","€26,20",1.000,"€0,0262",Gr,Makro,27/8/22 0:00
Congelados,Carne congelada,osobuco,Proteina,,,,,-,"€8,18","€8,18",1.000,"€0,0082",,Makro,26-8
Despensa,Especies,P. Negra molida,Sin asignar,,"€15,00",,,"€13,57","€12,50","€12,50",1.000,"€0,0125",,Makro,27/8/22 0:00
Frescos,Despensa,Pan de barra,Sin asignar,,,,,"€0,40",,"€0,40",1,"€0,4000",Unidad,Mercadona,20/08/2025
Despensa,Desayunos,Pan de molde,Sin asignar,,,,,"€1,53","€2,00","€1,53",1.000,"€0,0015",,Mercadona,25/8/22 0:00
Despensa,Desayunos,Pan de molde Integ,Sin asignar,,,,,"€1,16","€1,72","€1,16",1.000,"€0,0012",,Mercadona,25/8/22 0:00
Frescos,Despensa,Pan Hamburguesa,Sin asignar,,,,,"€0,21",,"€0,21",1,"€0,2120",Unidad,Mercadona,20/08/2025
Frescos,Despensa,Pan Hotdog,Sin asignar,,,,,"€0,15",,"€0,15",1,"€0,1500",Unidad,Mercadona,20/08/2025
Despensa,Despensa,Pan rallado,Sin asignar,,,,,"€2,00",,"€2,00",1.000,"€0,0020",,Mercadona,20/08/2025
Despensa,Despensa,Pan rallado ajo y perejil,Sin asignar,,,,,"€2,00",,"€2,00",1.000,"€0,0020",,Mercadona,20/08/2025
Despensa,Despensa,Pan rallado crujirnte,Sin asignar,,,,,"€4,00",,"€4,00",1.000,"€0,0040",,Mercadona,20/08/2025
Frescos,Carne,Panceta cerdo,Proteina,,,,,"€7,00","€7,26","€7,00",1.000,"€0,0070",,Mercadona,25/8/22
Congelados,Pescado congelado,Panga,Proteina,,,,,"€5,40","€6,56","€5,40",1.000,"€0,0054",,Makro,
Despensa,Lacteos,Parmesano,Lacteos,,,,,"€17,00","€28,22","€17,00",1.000,"€0,0170",Gr,Mercadona,26/8/22 0:00
Frescos,,pasas,Sin asignar,,,,,"€7,20",,"€7,20",1.000,"€0,0072",,Mercadona,20/08/2025
Asiatico,varios,Pasta cacahuete,Sin asignar,,,,"€6,25",,,"€6,25",1.000,"€0,0063",,Chino cash&carry,
Asiatico,salsas,Pasta curry rojo,Sin asignar,,,"€7,56","6,5",,,"€6,50",1.000,"€0,0065",GR,Chino centro,20/08/2025
Asiatico,salsas,Pasta curry verde,Sin asignar,,,"€7,56",6,,,"€6,00",1.000,"€0,0060",GR,Chino centro,20/08/2025
Despensa,Pasta / Arroz,Pasta fusilli,H.Carbono,,,,,"€1,60",,"€1,60",1.000,"€0,0016",,Mercadona,
Despensa,Pasta / Arroz,Pasta Helices,H.Carbono,,,,,"€1,55",,"€1,55",1.000,"€0,0016",,Mercadona,25/8/22 0:00
BBQ,Otros,Pastilla fuego,Sin asignar,,,,,,"€0,03","€0,03",1.000,"€0,0000",,Makro,
