Carniceria Samir	Star Cash&Carry	Chino centro	Chino cash&carry	Mercadona	Makro			Presentacion		
Categoria	Subcategoria	Producto	Cat. Nutricional	€/KG	€/KG	€/KG	€/KG	€/KG	€/KG	Precio mas bajo	€/gr		Proveedor	Ultima actualización
Frescos	Carne	Panceta cerdo	Proteina					7,00 €	7,26 €	7,00 €	0,01 €		Mercadona	25/8/22
Frescos	Carne	Longaniza fresca	Proteina					6,30 €		6,30 €	0,01 €		Mercadona	25/8/22 0:00
Frescos	Carne	Tocino	Proteina					6,80 €		6,80 €	0,01 €		Makro	
Frescos	Carne	Longaniza de pollo	Proteina					7,50 €		7,50 €	0,01 €		Mercadona	26/8/22 0:00
Frescos	Carne	Carne picada Vacuno	Proteina	11,50 €						11,50 €	0,01 €		Carniceria Samir	25/8/22
Frescos	Carne	Carne picada mixto	Proteina					8,40 €		8,40 €	0,01 €		Carniceria Samir	25/8/22
Frescos	Carne	Contramuslo pollo	Proteina	3,90 €				-		3,90 €	0,00 €		Carniceria Samir	25/8/22
Frescos	Carne	Contra muslo pollo S/H	Proteina	7,50 €				6,50 €		6,50 €	0,01 €		Carniceria Samir	25/8/22
Frescos	Carne	Pechuga de pollo	Proteina	7,80 €				6,20 €		6,20 €	0,01 €		Carniceria Samir	25/8/22
Frescos	Carne	Hamburguesa	Proteina	1,84 €				0,98 €		0,98 €	0,98 €	Unidad	Mercadona	25/8/22
